RANK,CITY,STATE,2019_ESTIMATE,"2010_CENSUS
Census",CHANGE,2016_LAND_AREA_SQ_MI ,2016_LAND_AREA_KM2,2016_POPULATION_DENSITY_SQ_MI,2016_POPULATION_DENSITY_KM2,LOCATION
1,New York,New York,8336817,8175133,0.0198,301.5 sq mi,780.9 km2,"28,317/sq mi","10,933/km2",40.6635°N 73.9387°W
2,Los Angeles,California,3979576,3792621,0.0493,468.7 sq mi,"1,213.9 km2","8,484/sq mi","3,276/km2",34.0194°N 118.4108°W
3,Chicago,Illinois,2693976,2695598,−0.06,227.3 sq mi,588.7 km2,"11,900/sq mi","4,600/km2",41.8376°N 87.6818°W
4,Houston,Texas,2320268,2100263,0.1048,637.5 sq mi,"1,651.1 km2","3,613/sq mi","1,395/km2",29.7866°N 95.3909°W
5,Phoenix,Arizona,1680992,1445632,0.1628,517.6 sq mi,"1,340.6 km2","3,120/sq mi","1,200/km2",33.5722°N 112.0901°W
6,Philadelphia,Pennsylvania,1584064,1526006,0.038,134.2 sq mi,347.6 km2,"11,683/sq mi","4,511/km2",40.0094°N 75.1333°W
7,San Antonio,Texas,1547253,1327407,0.1656,461.0 sq mi,"1,194.0 km2","3,238/sq mi","1,250/km2",29.4724°N 98.5251°W
8,San Diego,California,1423851,1307402,0.0891,325.2 sq mi,842.3 km2,"4,325/sq mi","1,670/km2",32.8153°N 117.1350°W
9,Dallas,Texas,1343573,1197816,0.1217,340.9 sq mi,882.9 km2,"3,866/sq mi","1,493/km2",32.7933°N 96.7665°W
10,San Jose,California,1021795,945942,0.0802,177.5 sq mi,459.7 km2,"5,777/sq mi","2,231/km2",37.2967°N 121.8189°W
11,Austin,Texas,978908,790390,0.2385,312.7 sq mi,809.9 km2,"3,031/sq mi","1,170/km2",30.3039°N 97.7544°W
12,Jacksonville,Florida,911507,821784,0.1092,747.4 sq mi,"1,935.8 km2","1,178/sq mi",455/km2,30.3369°N 81.6616°W
13,Fort Worth,Texas,909585,741206,0.2272,342.9 sq mi,888.1 km2,"2,491/sq mi",962/km2,32.7815°N 97.3467°W
14,Columbus,Ohio,898553,787033,0.1417,218.5 sq mi,565.9 km2,"3,936/sq mi","1,520/km2",39.9852°N 82.9848°W
15,Charlotte,North Carolina,885708,731424,0.2109,305.4 sq mi,791.0 km2,"2,757/sq mi","1,064/km2",35.2078°N 80.8310°W
16,San Francisco,California,881549,805235,0.0948,46.9 sq mi,121.5 km2,"18,569/sq mi","7,170/km2",37.7272°N 123.0322°W
17,Indianapolis,Indiana,876384,820445,0.0682,361.5 sq mi,936.3 km2,"2,366/sq mi",914/km2,39.7767°N 86.1459°W
18,Seattle,Washington,753675,608660,0.2383,83.8 sq mi,217.0 km2,"8,405/sq mi","3,245/km2",47.6205°N 122.3509°W
19,Denver,Colorado,727211,600158,0.2117,153.3 sq mi,397.0 km2,"4,521/sq mi","1,746/km2",39.7619°N 104.8811°W
20,Washington,District of Columbia,705749,601723,0.1729,61.1 sq mi,158.2 km2,"11,148/sq mi","4,304/km2",38.9041°N 77.0172°W
21,Boston,Massachusetts,692600,617594,0.1214,48.3 sq mi,125.1 km2,"13,938/sq mi","5,381/km2",42.3320°N 71.0202°W
22,El Paso,Texas,681728,649121,0.0502,256.8 sq mi,665.1 km2,"2,660/sq mi","1,030/km2",31.8484°N 106.4270°W
23,Nashville,Tennessee,670820,601222,0.1158,475.9 sq mi,"1,232.6 km2","1,388/sq mi",536/km2,36.1718°N 86.7850°W
24,Detroit,Michigan,670031,713777,−6.13,138.8 sq mi,359.5 km2,"4,847/sq mi","1,871/km2",42.3830°N 83.1022°W
25,Oklahoma City,Oklahoma,655057,579999,0.1294,606.3 sq mi,"1,570.3 km2","1,053/sq mi",407/km2,35.4671°N 97.5137°W
26,Portland,Oregon,654741,583776,0.1216,133.5 sq mi,345.8 km2,"4,793/sq mi","1,851/km2",45.5370°N 122.6500°W
27,Las Vegas,Nevada,651319,583756,0.1157,134.4 sq mi,348.1 km2,"4,709/sq mi","1,818/km2",36.2292°N 115.2601°W
28,Memphis,Tennessee,651073,646889,0.0065,317.4 sq mi,822.1 km2,"2,056/sq mi",794/km2,35.1028°N 89.9774°W
29,Louisville,Kentucky,617638,597337,0.034,263.5 sq mi,682.5 km2,"2,339/sq mi",903/km2,38.1654°N 85.6474°W
30,Baltimore,Maryland,593490,620961,−4.42,80.9 sq mi,209.5 km2,"7,598/sq mi","2,934/km2",39.3000°N 76.6105°W
31,Milwaukee,Wisconsin,590157,594833,−0.79,96.2 sq mi,249.2 km2,"6,186/sq mi","2,388/km2",43.0633°N 87.9667°W
32,Albuquerque,New Mexico,560513,545852,0.0269,188.2 sq mi,487.4 km2,"2,972/sq mi","1,147/km2",35.1056°N 106.6474°W
33,Tucson,Arizona,548073,520116,0.0538,230.8 sq mi,597.8 km2,"2,299/sq mi",888/km2,32.1531°N 110.8706°W
34,Fresno,California,531576,494665,0.0746,114.4 sq mi,296.3 km2,"4,563/sq mi","1,762/km2",36.7836°N 119.7934°W
35,Mesa,Arizona,518012,439041,0.1799,137.9 sq mi,357.2 km2,"3,514/sq mi","1,357/km2",33.4019°N 111.7174°W
36,Sacramento,California,513624,466488,0.101,97.9 sq mi,253.6 km2,"5,059/sq mi","1,953/km2",38.5666°N 121.4686°W
37,Atlanta,Georgia,506811,420003,0.2067,133.5 sq mi,345.8 km2,"3,539/sq mi","1,366/km2",33.7629°N 84.4227°W
38,Kansas City,Missouri,495327,459787,0.0773,315.0 sq mi,815.8 km2,"1,528/sq mi",590/km2,39.1251°N 94.5510°W
39,Colorado Springs,Colorado,478221,416427,0.1484,195.6 sq mi,506.6 km2,"2,378/sq mi",918/km2,38.8673°N 104.7607°W
40,Omaha,Nebraska,478192,408958,0.1693,133.2 sq mi,345.0 km2,"3,356/sq mi","1,296/km2",41.2644°N 96.0451°W
41,Raleigh,North Carolina,474069,403892,0.1738,145.1 sq mi,375.8 km2,"3,163/sq mi","1,221/km2",35.8306°N 78.6418°W
42,Miami,Florida,467963,399457,0.1715,36.0 sq mi,93.2 km2,"12,599/sq mi","4,865/km2",25.7752°N 80.2086°W
43,Long Beach,California,462628,462257,0.0008,50.3 sq mi,130.3 km2,"9,347/sq mi","3,609/km2",33.8092°N 118.1553°W
44,Virginia Beach[m],Virginia,449974,437994,0.0274,244.7 sq mi,633.8 km2,"1,850/sq mi",710/km2,36.7800°N 76.0252°W
45,Oakland,California,433031,390724,0.1083,55.9 sq mi,144.8 km2,"7,514/sq mi","2,901/km2",37.7698°N 122.2257°W
46,Minneapolis,Minnesota,429606,382578,0.1229,54.0 sq mi,139.9 km2,"7,660/sq mi","2,960/km2",44.9633°N 93.2683°W
47,Tulsa,Oklahoma,401190,391906,0.0237,196.8 sq mi,509.7 km2,"2,048/sq mi",791/km2,36.1279°N 95.9023°W
48,Tampa,Florida,399700,335709,0.1906,113.4 sq mi,293.7 km2,"3,326/sq mi","1,284/km2",27.9701°N 82.4797°W
49,Arlington,Texas,398854,365438,0.0914,95.8 sq mi,248.1 km2,"4,100/sq mi","1,600/km2",32.7007°N 97.1247°W
50,New Orleans,Louisiana,390144,343829,0.1347,169.4 sq mi,438.7 km2,"2,311/sq mi",892/km2,30.0534°N 89.9345°W
51,Wichita,Kansas,389938,382368,0.0198,160.4 sq mi,415.4 km2,"2,431/sq mi",939/km2,37.6907°N 97.3459°W
52,Bakersfield,California,384145,347483,0.1055,148.8 sq mi,385.4 km2,"2,529/sq mi",976/km2,35.3212°N 119.0183°W
53,Cleveland,Ohio,381009,396815,−3.98,77.7 sq mi,201.2 km2,"4,965/sq mi","1,917/km2",41.4785°N 81.6794°W
54,Aurora,Colorado,379289,325078,0.1668,153.5 sq mi,397.6 km2,"2,356/sq mi",910/km2,39.6880°N 104.6897°W
55,Anaheim,California,350365,336265,0.0419,50.0 sq mi,129.5 km2,"7,021/sq mi","2,711/km2",33.8555°N 117.7601°W
56,Honolulu,Hawaii,345064,337256,0.0232,60.5 sq mi,156.7 km2,"5,815/sq mi","2,245/km2",21.3243°N 157.8476°W
57,Santa Ana,California,332318,324528,0.024,27.1 sq mi,70.2 km2,"12,333/sq mi","4,762/km2",33.7363°N 117.8830°W
58,Riverside,California,331360,303871,0.0905,81.2 sq mi,210.3 km2,"3,999/sq mi","1,544/km2",33.9381°N 117.3932°W
59,Corpus Christi,Texas,326586,305215,0.07,174.6 sq mi,452.2 km2,"1,866/sq mi",720/km2,27.7543°N 97.1734°W
60,Lexington,Kentucky,323152,295803,0.0925,283.6 sq mi,734.5 km2,"1,123/sq mi",434/km2,38.0407°N 84.4583°W
61,Henderson,Nevada,320189,257729,0.2423,104.7 sq mi,271.2 km2,"2,798/sq mi","1,080/km2",36.0097°N 115.0357°W
62,Stockton,California,312697,291707,0.072,61.7 sq mi,159.8 km2,"4,977/sq mi","1,922/km2",37.9763°N 121.3133°W
63,Saint Paul,Minnesota,308096,285068,0.0808,52.0 sq mi,134.7 km2,"5,815/sq mi","2,245/km2",44.9489°N 93.1041°W
64,Cincinnati,Ohio,303940,296943,0.0236,77.4 sq mi,200.5 km2,"3,860/sq mi","1,490/km2",39.1402°N 84.5058°W
65,St. Louis,Missouri,300576,319294,−5.86,62.0 sq mi,160.6 km2,"5,023/sq mi","1,939/km2",38.6357°N 90.2446°W
66,Pittsburgh,Pennsylvania,300286,305704,−1.77,55.4 sq mi,143.5 km2,"5,481/sq mi","2,116/km2",40.4398°N 79.9766°W
67,Greensboro,North Carolina,296710,269666,0.1003,128.3 sq mi,332.3 km2,"2,237/sq mi",864/km2,36.0951°N 79.8270°W
68,Lincoln,Nebraska,289102,258379,0.1189,92.1 sq mi,238.5 km2,"3,044/sq mi","1,175/km2",40.8105°N 96.6803°W
69,Anchorage,Alaska,288000,291826,−1.31,"1,706.6 sq mi","4,420.1 km2",175/sq mi,68/km2,61.1743°N 149.2843°W
70,Plano,Texas,287677,259841,0.1071,71.7 sq mi,185.7 km2,"3,990/sq mi","1,540/km2",33.0508°N 96.7479°W
71,Orlando,Florida,287442,238300,0.2062,105.2 sq mi,272.5 km2,"2,635/sq mi","1,017/km2",28.4166°N 81.2736°W
72,Irvine,California,287401,212375,0.3533,65.6 sq mi,169.9 km2,"4,057/sq mi","1,566/km2",33.6784°N 117.7713°W
73,Newark,New Jersey,282011,277140,0.0176,24.1 sq mi,62.4 km2,"11,691/sq mi","4,514/km2",40.7242°N 74.1726°W
74,Durham,North Carolina,278993,228330,0.2219,109.8 sq mi,284.4 km2,"2,395/sq mi",925/km2,35.9811°N 78.9029°W
75,Chula Vista,California,274492,243916,0.1254,49.6 sq mi,128.5 km2,"5,387/sq mi","2,080/km2",32.6277°N 117.0152°W
76,Toledo,Ohio,272779,287208,−5.02,80.7 sq mi,209.0 km2,"3,451/sq mi","1,332/km2",41.6641°N 83.5819°W
77,Fort Wayne,Indiana,270402,253691,0.0659,110.6 sq mi,286.5 km2,"2,391/sq mi",923/km2,41.0882°N 85.1439°W
78,St. Petersburg,Florida,265351,244769,0.0841,61.8 sq mi,160.1 km2,"4,223/sq mi","1,631/km2",27.7620°N 82.6441°W
79,Laredo,Texas,262491,236091,0.1118,101.1 sq mi,261.8 km2,"2,544/sq mi",982/km2,27.5604°N 99.4892°W
80,Jersey City,New Jersey,262075,247597,0.0585,14.8 sq mi,38.3 km2,"17,848/sq mi","6,891/km2",40.7114°N 74.0648°W
81,Chandler,Arizona,261165,236123,0.1061,64.9 sq mi,168.1 km2,"3,813/sq mi","1,472/km2",33.2829°N 111.8549°W
82,Madison,Wisconsin,259680,233209,0.1135,77.0 sq mi,199.4 km2,"3,280/sq mi","1,270/km2",43.0878°N 89.4299°W
83,Lubbock,Texas,258862,229573,0.1276,124.6 sq mi,322.7 km2,"2,027/sq mi",783/km2,33.5656°N 101.8867°W
84,Scottsdale,Arizona,258069,217385,0.1872,183.9 sq mi,476.3 km2,"1,341/sq mi",518/km2,33.6843°N 111.8611°W
85,Reno,Nevada,255601,225221,0.1349,107.3 sq mi,277.9 km2,"2,286/sq mi",883/km2,39.5491°N 119.8499°W
86,Buffalo,New York,255284,261310,−2.31,40.4 sq mi,104.6 km2,"6,359/sq mi","2,455/km2",42.8925°N 78.8597°W
87,Gilbert,Arizona,254114,208453,0.219,68.0 sq mi,176.1 km2,"3,487/sq mi","1,346/km2",33.3103°N 111.7431°W
88,Glendale,Arizona,252381,226721,0.1132,59.1 sq mi,153.1 km2,"4,161/sq mi","1,607/km2",33.5331°N 112.1899°W
89,North Las Vegas,Nevada,251974,216961,0.1614,98.0 sq mi,253.8 km2,"2,436/sq mi",941/km2,36.2857°N 115.0939°W
90,Winston–Salem,North Carolina,247945,229617,0.0798,132.5 sq mi,343.2 km2,"1,828/sq mi",706/km2,36.1027°N 80.2610°W
91,Chesapeake,Virginia,244835,222209,0.1018,338.5 sq mi,876.7 km2,703/sq mi,271/km2,36.6794°N 76.3018°W
92,Norfolk,Virginia,242742,242803,−0.03,53.3 sq mi,138.0 km2,"4,599/sq mi","1,776/km2",36.9230°N 76.2446°W
93,Fremont,California,241110,214089,0.1262,77.5 sq mi,200.7 km2,"3,008/sq mi","1,161/km2",37.4945°N 121.9412°W
94,Garland,Texas,239928,226876,0.0575,57.0 sq mi,147.6 km2,"4,122/sq mi","1,592/km2",32.9098°N 96.6303°W
95,Irving,Texas,239798,216290,0.1087,67.0 sq mi,173.5 km2,"3,557/sq mi","1,373/km2",32.8577°N 96.9700°W
96,Hialeah,Florida,233339,224669,0.0386,21.5 sq mi,55.7 km2,"10,995/sq mi","4,245/km2",25.8699°N 80.3029°W
97,Richmond,Virginia,230436,204214,0.1284,59.8 sq mi,154.9 km2,"3,732/sq mi","1,441/km2",37.5314°N 77.4760°W
98,Boise,Idaho,228959,205671,0.1132,82.1 sq mi,212.6 km2,"2,718/sq mi","1,049/km2",43.6002°N 116.2317°W
99,Spokane,Washington,222081,208916,0.063,68.7 sq mi,177.9 km2,"3,144/sq mi","1,214/km2",47.6669°N 117.4333°W
100,Baton Rouge,Louisiana,220236,229493,−4.03,85.9 sq mi,222.5 km2,"2,651/sq mi","1,024/km2",30.4422°N 91.1309°W
